customer_key,customer_id,customer_name,country,ages,age_category,total_orders,total_quantity,total_products,total_sales,customer_type,recent_order,oldest_order,time_period,customer_frequency,avg_spend_of_customer,spend_by_customer,customer_contribution
624,11623,Angela Perry,United States,47,Mid_aged,2,5,5,5948,VIP,2013-04-26,2011-09-07,19,regular customer,1189.6,5948,0.02%
625,11624,Ryan Smith,United States,41,Mid_aged,2,2,2,5898,VIP,2013-04-24,2011-09-21,19,regular customer,2949,5898,0.02%
626,11625,Zachary Moore,United States,47,Mid_aged,2,4,4,5913,VIP,2013-04-23,2011-09-24,19,regular customer,1478.25,5913,0.02%
627,11626,Destiny Rogers,United States,47,Mid_aged,2,4,4,5959,VIP,2013-04-07,2011-09-01,19,regular customer,1489.75,5959,0.02%
628,11627,Dalton Gray,United States,47,Mid_aged,2,4,4,50,NEW,2013-11-09,2013-08-27,3,new customer,12.5,50,0.00%
629,11628,Mariah Wood,United States,48,Mid_aged,2,3,3,5875,VIP,2013-03-31,2011-09-12,18,regular customer,1958.33,5875,0.02%
630,11629,Isaiah Wright,United States,49,Mid_aged,2,4,4,5930,VIP,2013-04-18,2011-09-25,19,regular customer,1482.5,5930,0.02%
631,11630,Haley Powell,United States,48,Mid_aged,2,3,3,5933,VIP,2013-04-27,2011-09-21,19,regular customer,1977.67,5933,0.02%
632,11631,Antonio Bennett,Canada,49,Mid_aged,16,33,22,706,NEW,2013-12-25,2013-02-07,10,regular customer,21.39,706,0.00%
633,11632,Alexandra Jenkins,Canada,43,Mid_aged,16,34,23,1001,Regular,2014-01-03,2013-01-30,12,regular customer,29.44,1001,0.00%
634,11633,Thomas Anderson,United States,48,Mid_aged,2,4,4,77,NEW,2014-01-14,2013-11-13,2,new customer,19.25,77,0.00%
635,11634,Samuel Collins,United States,48,Mid_aged,2,3,2,39,NEW,2013-04-26,2013-03-11,1,new customer,13,39,0.00%
636,11635,Darrell Chande,United States,42,Mid_aged,2,3,3,42,NEW,2013-09-21,2013-02-08,7,regular customer,14,42,0.00%
637,11636,Kimberly Cox,United States,47,Mid_aged,2,4,4,77,NEW,2014-01-18,2013-09-11,4,new customer,19.25,77,0.00%
638,11637,Morgan Hernandez,United States,42,Mid_aged,2,3,2,39,NEW,2013-02-15,2013-02-08,0,new customer,13,39,0.00%
639,11638,Antonio Powell,United States,48,Mid_aged,2,4,4,77,NEW,2013-10-19,2013-10-19,0,new customer,19.25,77,0.00%
640,11639,Angelica Perry,United States,47,Mid_aged,2,5,5,127,NEW,2014-01-08,2013-11-09,2,new customer,25.4,127,0.00%
641,11640,Chloe Wilson,Canada,50,Mid_aged,5,15,14,408,NEW,2013-12-29,2013-03-15,9,regular customer,27.2,408,0.00%
642,11641,James Chen,Canada,49,Mid_aged,5,11,10,302,NEW,2013-08-18,2013-01-30,7,regular customer,27.45,302,0.00%
643,11642,Morgan Hughes,Canada,49,Mid_aged,5,15,14,481,NEW,2014-01-24,2013-02-09,11,regular customer,32.07,481,0.00%
644,11643,Naomi Munoz,United States,49,Mid_aged,2,5,5,100,NEW,2013-07-04,2013-04-21,3,new customer,20,100,0.00%
645,11644,Charles Torres,United States,50,Mid_aged,2,3,3,42,NEW,2014-01-05,2013-05-17,8,regular customer,14,42,0.00%
646,11645,Gabriella Turner,United States,50,Mid_aged,2,5,5,153,NEW,2014-01-03,2013-11-10,2,new customer,30.6,153,0.00%
647,11646,Anna Foster,United States,45,Mid_aged,2,3,3,113,NEW,2013-07-25,2013-07-15,0,new customer,37.67,113,0.00%
648,11647,Randy Wu,Canada,50,Mid_aged,1,5,5,2366,Regular,2013-02-15,2013-02-15,0,new customer,473.2,2366,0.01%
649,11648,Kevin Scott,United States,45,Mid_aged,2,2,2,89,NEW,2013-09-02,2013-08-28,1,new customer,44.5,89,0.00%
650,11649,Ian White,United States,45,Mid_aged,2,3,3,91,NEW,2013-04-23,2013-04-05,0,new customer,30.33,91,0.00%
651,11650,Caleb Hayes,United States,50,Mid_aged,2,4,4,129,NEW,2013-12-17,2013-02-15,10,regular customer,32.25,129,0.00%
652,11651,Patricia Garcia,Canada,43,Mid_aged,5,8,7,226,NEW,2013-10-18,2013-03-04,7,regular customer,28.25,226,0.00%
653,11652,Samuel Russell,Canada,43,Mid_aged,5,14,11,310,NEW,2013-12-18,2013-06-26,6,regular customer,22.14,310,0.00%
654,11653,Sydney Peterson,United States,43,Mid_aged,2,5,5,179,NEW,2013-10-12,2013-04-16,6,regular customer,35.8,179,0.00%
655,11654,Ariana Sanchez,United States,48,Mid_aged,2,4,4,5955,VIP,2013-04-24,2011-10-18,18,regular customer,1488.75,5955,0.02%
656,11655,Tamara Sharma,United States,43,Mid_aged,2,4,4,50,NEW,2013-12-02,2013-09-29,3,new customer,12.5,50,0.00%
657,11656,Katelyn Perez,United States,48,Mid_aged,2,4,4,77,NEW,2014-01-12,2013-09-11,4,new customer,19.25,77,0.00%
658,11657,Megan Cox,United States,49,Mid_aged,2,5,5,179,NEW,2014-01-28,2013-05-25,8,regular customer,35.8,179,0.00%
659,11658,Robert Mitchell,United States,40,Mid_aged,2,5,5,112,NEW,2013-07-24,2013-04-23,3,new customer,22.4,112,0.00%
660,11659,Miguel Adams,Canada,51,Mid_aged,5,10,9,234,NEW,2014-01-06,2013-05-09,8,regular customer,23.4,234,0.00%
661,11660,Miranda Gonzales,Canada,45,Mid_aged,5,15,11,323,NEW,2013-08-16,2013-05-08,3,new customer,21.53,323,0.00%
662,11661,Jeremiah James,Canada,44,Mid_aged,5,11,10,287,NEW,2013-12-14,2013-04-06,8,regular customer,26.09,287,0.00%
663,11662,Ethan Kumar,United States,49,Mid_aged,2,4,4,100,NEW,2013-07-06,2013-05-06,2,new customer,25,100,0.00%
664,11663,Seth Williams,United States,50,Mid_aged,2,5,5,5948,VIP,2013-02-15,2011-10-28,16,regular customer,1189.6,5948,0.02%
665,11664,Alyssa Morgan,United States,50,Mid_aged,2,5,5,5948,VIP,2013-02-21,2011-10-27,16,regular customer,1189.6,5948,0.02%
666,11665,Janet Dominguez,United States,49,Mid_aged,2,4,4,5930,VIP,2013-02-14,2011-10-13,16,regular customer,1482.5,5930,0.02%
667,11666,Angel Baker,United States,44,Mid_aged,2,5,5,5948,VIP,2013-02-07,2011-10-17,16,regular customer,1189.6,5948,0.02%
668,11667,Blake Moore,United States,53,Mid_aged,2,3,3,91,NEW,2013-12-19,2013-07-04,5,new customer,30.33,91,0.00%
669,11668,Jada Collins,United States,41,Mid_aged,2,4,4,129,NEW,2014-01-04,2013-12-16,1,new customer,32.25,129,0.00%
670,11669,Isabella Simmons,United States,47,Mid_aged,2,6,6,113,NEW,2013-08-19,2013-08-18,0,new customer,18.83,113,0.00%
671,11670,Jacqueline Perry,United States,52,Mid_aged,2,4,4,100,NEW,2013-09-18,2013-04-13,5,new customer,25,100,0.00%
672,11671,Jessica Brown,United States,54,Mid_aged,2,4,4,5970,VIP,2013-04-08,2011-10-21,18,regular customer,1492.5,5970,0.02%
673,11672,Chad Jai,United States,53,Mid_aged,2,3,3,113,NEW,2013-09-18,2013-07-25,2,new customer,37.67,113,0.00%
674,11673,Susan Ye,United States,48,Mid_aged,2,6,6,192,NEW,2013-03-03,2013-01-30,2,new customer,32,192,0.00%
675,11674,Morgan Rogers,United States,53,Mid_aged,2,4,4,96,NEW,2013-08-18,2013-05-30,3,new customer,24,96,0.00%
676,11675,Devin Martinez,United States,48,Mid_aged,2,2,2,5898,VIP,2013-02-09,2011-10-25,16,regular customer,2949,5898,0.02%
677,11676,Alan Hu,United States,54,Mid_aged,2,3,3,91,NEW,2013-12-09,2013-08-20,4,new customer,30.33,91,0.00%
678,11677,Charles Walker,Canada,45,Mid_aged,5,10,10,297,NEW,2013-11-30,2013-04-05,7,regular customer,29.7,297,0.00%
679,11678,Johnny Chavez,United States,51,Mid_aged,2,3,3,5900,VIP,2013-02-05,2011-10-10,16,regular customer,1966.67,5900,0.02%
680,11679,Dalton Richardson,United States,51,Mid_aged,2,4,4,146,NEW,2013-11-29,2013-10-13,1,new customer,36.5,146,0.00%
681,11680,Kaylee Nelson,United States,50,Mid_aged,2,3,3,94,NEW,2014-01-19,2013-09-01,4,new customer,31.33,94,0.00%
682,11681,Abigail Jones,United States,50,Mid_aged,2,5,5,138,NEW,2013-11-25,2013-03-07,8,regular customer,27.6,138,0.00%
683,11682,Kaitlyn Hall,United States,45,Mid_aged,2,4,4,253,NEW,2013-12-09,2013-09-05,3,new customer,63.25,253,0.00%
684,11683,Greg Taylor,United States,51,Mid_aged,2,5,5,5897,VIP,2013-02-07,2011-10-05,16,regular customer,1179.4,5897,0.02%
685,11684,Devin Parker,United States,54,Mid_aged,2,3,3,94,NEW,2013-12-12,2013-07-01,5,new customer,31.33,94,0.00%
686,11685,Jose Griffin,United States,55,Mid_aged,2,5,5,111,NEW,2013-12-13,2013-03-11,9,regular customer,22.2,111,0.00%
687,11686,Luke Edwards,United States,49,Mid_aged,2,4,4,129,NEW,2013-04-24,2013-03-08,1,new customer,32.25,129,0.00%
688,11687,Cody Torres,United States,49,Mid_aged,2,3,3,98,NEW,2013-06-21,2013-04-12,2,new customer,32.67,98,0.00%
689,11688,Victoria Morris,United States,49,Mid_aged,2,5,5,5967,VIP,2013-02-14,2011-10-02,16,regular customer,1193.4,5967,0.02%
690,11689,Ian Diaz,United States,54,Mid_aged,2,2,2,89,NEW,2013-09-02,2013-08-26,1,new customer,44.5,89,0.00%
691,11690,Caroline Butler,United States,49,Mid_aged,2,4,4,5904,VIP,2013-04-26,2011-10-25,18,regular customer,1476,5904,0.02%
692,11691,Kaitlyn Wilson,United States,51,Mid_aged,2,4,4,120,NEW,2013-05-19,2013-02-08,3,new customer,30,120,0.00%
693,11692,Caleb Gonzales,United States,56,Mid_aged,2,3,3,94,NEW,2014-01-18,2013-07-07,6,regular customer,31.33,94,0.00%
694,11693,Hailey Diaz,Canada,50,Mid_aged,1,1,1,2295,Regular,2013-01-28,2013-01-28,0,new customer,2295,2295,0.01%
695,11694,Jonathon Ortega,United States,56,Mid_aged,2,4,4,129,NEW,2013-09-28,2013-04-11,5,new customer,32.25,129,0.00%
696,11695,Logan Campbell,United States,56,Mid_aged,2,4,4,129,NEW,2013-08-19,2013-04-09,4,new customer,32.25,129,0.00%
697,11696,Mackenzie Campbell,United States,50,Mid_aged,2,2,2,5873,VIP,2013-04-29,2011-10-01,18,regular customer,2936.5,5873,0.02%
698,11697,Eduardo Lee,United States,50,Mid_aged,2,5,5,153,NEW,2013-10-04,2013-08-07,2,new customer,30.6,153,0.00%
699,11698,Jackson Wright,Canada,50,Mid_aged,5,7,7,255,NEW,2014-01-14,2013-03-31,10,regular customer,36.43,255,0.00%
700,11699,Chase Peterson,United States,57,Mid_aged,2,5,5,122,NEW,2013-08-09,2013-05-29,3,new customer,24.4,122,0.00%
701,11700,Xavier Richardson,United States,56,Mid_aged,2,5,5,138,NEW,2013-06-09,2013-02-02,4,new customer,27.6,138,0.00%
702,11701,David Hayes,United States,40,Mid_aged,2,4,4,129,NEW,2013-05-04,2013-04-24,1,new customer,32.25,129,0.00%
703,11702,Jenny Zhou,United States,51,Mid_aged,2,4,4,96,NEW,2013-11-14,2013-05-17,6,regular customer,24,96,0.00%
704,11703,Kaylee Baker,United States,52,Mid_aged,2,4,4,100,NEW,2013-11-16,2013-02-13,9,regular customer,25,100,0.00%
705,11704,Evan Hernandez,United States,52,Mid_aged,2,3,3,94,NEW,2013-07-17,2013-07-07,0,new customer,31.33,94,0.00%
706,11705,Brooke Richardson,United States,46,Mid_aged,2,5,5,5940,VIP,2013-05-27,2011-10-28,19,regular customer,1188,5940,0.02%
707,11706,Blake Perez,United States,57,Mid_aged,2,2,2,89,NEW,2013-10-04,2013-03-08,7,regular customer,44.5,89,0.00%
708,11707,Natalie Cook,United States,56,Mid_aged,2,5,5,6025,VIP,2013-05-24,2011-10-10,19,regular customer,1205,6025,0.02%
709,11708,Elizabeth Weisman,United States,51,Mid_aged,2,4,4,5908,VIP,2013-05-28,2011-10-25,19,regular customer,1477,5908,0.02%
710,11709,Hailey Collins,Canada,57,Mid_aged,5,12,9,325,NEW,2013-10-14,2013-03-11,7,regular customer,27.08,325,0.00%
711,11710,Zoe Ramirez,United States,58,Mid_aged,2,3,3,98,NEW,2013-12-12,2013-11-23,1,new customer,32.67,98,0.00%
712,11711,Daniel Davis,Canada,52,Mid_aged,27,55,27,1104,Regular,2014-01-26,2013-02-07,11,regular customer,20.07,1104,0.00%
713,11712,Shelby Rogers,Canada,57,Mid_aged,5,8,8,128,NEW,2013-10-29,2013-02-04,8,regular customer,16,128,0.00%
714,11713,Kyle Zhang,United States,58,Mid_aged,2,6,6,192,NEW,2013-11-21,2013-07-07,4,new customer,32,192,0.00%
715,11714,Alexandria Long,United States,57,Mid_aged,2,3,3,94,NEW,2013-05-14,2013-02-18,3,new customer,31.33,94,0.00%
716,11715,Chloe Robinson,United States,57,Mid_aged,2,4,4,144,NEW,2013-12-30,2013-12-26,0,new customer,36,144,0.00%
717,11716,Evan Kelly,United States,58,Mid_aged,2,4,4,96,NEW,2014-01-13,2013-05-31,8,regular customer,24,96,0.00%
718,11717,Marcus Jones,United States,53,Mid_aged,2,5,5,193,NEW,2013-12-28,2013-05-25,7,regular customer,38.6,193,0.00%
719,11718,Sarah Jones,United States,53,Mid_aged,2,4,4,100,NEW,2013-03-21,2013-03-06,0,new customer,25,100,0.00%
720,11719,Blake Green,Canada,54,Mid_aged,5,11,10,286,NEW,2013-09-20,2013-04-26,5,new customer,26,286,0.00%
721,11720,Morgan Morris,United States,60,Senior_Citizen,2,6,6,118,NEW,2013-07-24,2013-05-17,2,new customer,19.67,118,0.00%
722,11721,Jennifer Alexander,United States,54,Mid_aged,2,5,5,105,NEW,2013-10-17,2013-06-15,4,new customer,21,105,0.00%
723,11722,Julian Hughes,United States,60,Senior_Citizen,2,5,5,153,NEW,2013-11-09,2013-07-30,4,new customer,30.6,153,0.00%
724,11723,Luke Coleman,Canada,52,Mid_aged,5,9,8,193,NEW,2014-01-03,2013-01-31,12,regular customer,21.44,193,0.00%
725,11724,Jason Carter,Canada,53,Mid_aged,5,13,11,210,NEW,2013-12-14,2013-02-05,10,regular customer,16.15,210,0.00%
726,11725,Jose Li,United States,52,Mid_aged,2,5,5,124,NEW,2013-05-02,2013-04-01,1,new customer,24.8,124,0.00%
727,11726,Micah Liang,United States,52,Mid_aged,2,7,7,224,NEW,2013-12-07,2013-10-10,2,new customer,32,224,0.00%
728,11727,Benjamin Taylor,United States,52,Mid_aged,2,4,4,5962,VIP,2013-05-04,2011-10-12,19,regular customer,1490.5,5962,0.02%
729,11728,Logan White,United States,60,Senior_Citizen,2,4,4,110,NEW,2013-11-06,2013-06-11,5,new customer,27.5,110,0.00%
730,11729,Caleb Campbell,United States,54,Mid_aged,2,5,5,160,NEW,2014-01-11,2013-07-27,6,regular customer,32,160,0.00%
731,11730,Emma Torres,United States,59,Mid_aged,2,5,4,134,NEW,2014-01-08,2013-05-11,8,regular customer,26.8,134,0.00%
732,11731,Tanya Gill,United States,59,Mid_aged,2,5,5,121,NEW,2013-08-04,2013-03-16,5,new customer,24.2,121,0.00%
733,11732,Erick Sanchez,United States,55,Mid_aged,2,5,5,174,NEW,2013-08-15,2013-06-09,2,new customer,34.8,174,0.00%
734,11733,Kristi Schmidt,United States,55,Mid_aged,2,4,4,195,NEW,2014-01-07,2014-01-01,0,new customer,48.75,195,0.00%
735,11734,Omar Chen,United States,55,Mid_aged,2,4,4,136,NEW,2013-07-07,2013-06-21,1,new customer,34,136,0.00%
736,11735,Sydney Gray,United States,61,Senior_Citizen,2,4,4,110,NEW,2013-12-22,2013-02-24,10,regular customer,27.5,110,0.00%
737,11736,Sebastian Sanchez,United States,55,Mid_aged,2,5,5,166,NEW,2013-12-04,2013-10-17,2,new customer,33.2,166,0.00%
738,11737,Megan Martin,United States,55,Mid_aged,2,4,4,77,NEW,2013-07-17,2013-02-14,5,new customer,19.25,77,0.00%
739,11738,Elijah Alexander,Canada,55,Mid_aged,5,13,12,330,NEW,2013-12-27,2013-02-02,10,regular customer,25.38,330,0.00%
740,11739,Aaron King,Canada,61,Senior_Citizen,2,6,6,4758,Regular,2013-04-16,2013-01-13,3,new customer,793,4758,0.02%
741,11740,Jan Hall,Canada,61,Senior_Citizen,5,14,12,384,NEW,2014-01-18,2013-03-07,10,regular customer,27.43,384,0.00%
742,11741,Tamara Chander,United States,60,Senior_Citizen,2,4,4,6079,VIP,2013-02-20,2011-10-15,16,regular customer,1519.75,6079,0.02%
743,11742,Edward Lewis,United States,61,Senior_Citizen,2,5,5,5915,VIP,2013-05-22,2011-10-03,19,regular customer,1183,5915,0.02%
744,11743,Chase Kelly,United States,51,Mid_aged,2,2,2,5898,VIP,2013-05-16,2011-10-25,19,regular customer,2949,5898,0.02%
745,11744,Stephanie Campbell,United States,61,Senior_Citizen,2,3,3,72,NEW,2013-08-27,2013-04-13,4,new customer,24,72,0.00%
746,11745,Allison Gonzalez,United States,61,Senior_Citizen,2,5,5,5948,VIP,2013-05-04,2011-10-10,19,regular customer,1189.6,5948,0.02%
747,11746,Seth Brooks,United States,61,Senior_Citizen,2,4,4,77,NEW,2013-11-09,2013-01-28,10,regular customer,19.25,77,0.00%
748,11747,Destiny Davis,United States,62,Senior_Citizen,2,4,4,116,NEW,2013-10-13,2013-08-07,2,new customer,29,116,0.00%
749,11748,Blake Hill,Canada,61,Senior_Citizen,5,8,7,132,NEW,2013-11-01,2013-06-07,5,new customer,16.5,132,0.00%
750,11749,Eduardo Jackson,Australia,45,Mid_aged,3,4,4,48,NEW,2013-12-31,2013-04-08,8,regular customer,12,48,0.00%
751,11750,Latoya She,Australia,41,Mid_aged,3,6,6,8148,VIP,2013-10-01,2011-07-14,27,old customer,1358,8148,0.03%
752,11751,Victoria Gonzales,Australia,49,Mid_aged,3,6,6,8215,VIP,2013-07-17,2011-07-08,24,old customer,1369.17,8215,0.03%
753,11752,Lauren Bryant,Australia,44,Mid_aged,3,8,8,138,NEW,2013-12-06,2013-02-27,10,regular customer,17.25,138,0.00%
754,11753,Felicia Ortega,Australia,50,Mid_aged,3,4,4,48,NEW,2013-10-15,2013-04-19,6,regular customer,12,48,0.00%
755,11754,Janet Ortega,Australia,49,Mid_aged,3,5,5,8163,VIP,2013-07-30,2011-07-16,24,old customer,1632.6,8163,0.03%
756,11755,Willie Pal,Australia,52,Mid_aged,3,5,4,46,NEW,2013-08-17,2013-05-31,3,new customer,9.2,46,0.00%
757,11756,Linda Ortega,Australia,51,Mid_aged,3,6,6,8078,VIP,2013-10-25,2011-07-28,27,old customer,1346.33,8078,0.03%
758,11757,Vincent Cai,Australia,46,Mid_aged,3,5,4,57,NEW,2013-11-27,2013-02-23,9,regular customer,11.4,57,0.00%
759,11758,Colin Yuan,Australia,46,Mid_aged,3,5,4,57,NEW,2013-11-24,2013-03-30,8,regular customer,11.4,57,0.00%
760,11759,Dawn Nath,Australia,45,Mid_aged,3,3,3,8054,VIP,2013-07-09,2011-07-10,24,old customer,2684.67,8054,0.03%
761,11760,Melody Moreno,Australia,52,Mid_aged,3,9,9,275,NEW,2013-11-19,2013-03-31,8,regular customer,30.56,275,0.00%
762,11761,Edgar Mehta,Australia,53,Mid_aged,3,8,8,8149,VIP,2013-07-29,2011-08-05,23,old customer,1018.63,8149,0.03%
763,11762,Randall Gomez,Australia,41,Mid_aged,3,7,7,8228,VIP,2013-07-06,2011-08-07,23,old customer,1175.43,8228,0.03%
764,11763,Ross Fernandez,Australia,53,Mid_aged,3,7,6,76,NEW,2013-11-12,2013-01-30,10,regular customer,10.86,76,0.00%
765,11764,Jessie Ramos,Australia,52,Mid_aged,3,6,6,8129,VIP,2013-07-07,2011-09-09,22,old customer,1354.83,8129,0.03%
766,11765,Marc Torres,Australia,42,Mid_aged,3,5,5,8143,VIP,2013-07-26,2011-09-12,22,old customer,1628.6,8143,0.03%
767,11766,Candace Raman,Australia,53,Mid_aged,3,11,11,8280,VIP,2013-07-10,2011-09-19,22,old customer,752.73,8280,0.03%
768,11767,Meagan Madan,Australia,48,Mid_aged,3,7,7,8319,VIP,2013-07-12,2011-09-17,22,old customer,1188.43,8319,0.03%
769,11768,Clayton Nara,Australia,42,Mid_aged,3,4,4,8139,VIP,2013-07-14,2011-09-03,22,old customer,2034.75,8139,0.03%
770,11769,Haley Hernandez,Canada,46,Mid_aged,5,17,14,478,NEW,2013-09-18,2013-04-28,5,new customer,28.12,478,0.00%
771,11770,Peter Nara,United States,46,Mid_aged,2,4,4,77,NEW,2013-10-21,2013-08-08,2,new customer,19.25,77,0.00%
772,11771,Isaac Rivera,United States,46,Mid_aged,2,3,3,94,NEW,2013-07-24,2013-03-31,4,new customer,31.33,94,0.00%
773,11772,Cameron Moore,United States,41,Mid_aged,2,4,4,5913,VIP,2013-05-15,2011-10-08,19,regular customer,1478.25,5913,0.02%
774,11773,Gavin Diaz,United States,46,Mid_aged,2,4,4,5984,VIP,2013-04-30,2011-10-23,18,regular customer,1496,5984,0.02%
775,11774,Emma Sanchez,United States,47,Mid_aged,2,3,3,5900,VIP,2013-06-13,2011-10-26,20,regular customer,1966.67,5900,0.02%
776,11775,Sierra Roberts,United States,NULL,Senior_Citizen,2,4,4,5913,VIP,2013-06-03,2011-10-03,20,regular customer,1478.25,5913,0.02%
777,11776,Seth Mitchell,United States,47,Mid_aged,2,4,4,6079,VIP,2013-06-03,2011-10-05,20,regular customer,1519.75,6079,0.02%
778,11777,Miranda Long,United States,47,Mid_aged,2,5,5,5915,VIP,2013-06-22,2011-10-14,20,regular customer,1183,5915,0.02%
779,11778,Haley Henderson,United States,49,Mid_aged,2,2,2,5873,VIP,2013-06-29,2011-10-27,20,regular customer,2936.5,5873,0.02%
780,11779,Sarah Jackson,United States,48,Mid_aged,2,2,2,5873,VIP,2013-06-23,2011-10-17,20,regular customer,2936.5,5873,0.02%
781,11780,Jessica Alexander,United States,48,Mid_aged,2,5,5,5973,VIP,2013-06-18,2011-10-15,20,regular customer,1194.6,5973,0.02%
782,11781,Carlos Gray,United States,49,Mid_aged,2,5,5,134,NEW,2013-12-09,2013-03-06,9,regular customer,26.8,134,0.00%
783,11782,Barbara Jai,United States,43,Mid_aged,2,6,6,151,NEW,2013-09-16,2013-08-02,1,new customer,25.17,151,0.00%
784,11783,Sara Mitchell,United States,43,Mid_aged,2,4,3,110,NEW,2013-05-11,2013-03-23,2,new customer,27.5,110,0.00%
785,11784,Jose Turner,Canada,47,Mid_aged,5,12,9,272,NEW,2013-12-17,2013-04-12,8,regular customer,22.67,272,0.00%
786,11785,Theodore Diaz,United States,42,Mid_aged,2,3,3,75,NEW,2013-08-31,2013-04-21,4,new customer,25,75,0.00%
787,11786,Ian Murphy,United States,47,Mid_aged,2,4,3,127,NEW,2014-01-23,2013-12-29,1,new customer,31.75,127,0.00%
788,11787,Jerry Nath,United States,47,Mid_aged,2,4,3,110,NEW,2013-11-05,2013-10-13,1,new customer,27.5,110,0.00%
789,11788,Destiny James,United States,48,Mid_aged,2,5,5,255,NEW,2013-08-20,2013-05-09,3,new customer,51,255,0.00%
790,11789,Bailey Phillips,United States,44,Mid_aged,2,3,3,72,NEW,2013-04-28,2013-03-07,1,new customer,24,72,0.00%
791,11790,Timothy Gonzalez,United States,44,Mid_aged,2,5,5,147,NEW,2013-05-22,2013-03-11,2,new customer,29.4,147,0.00%
792,11791,Chase Morgan,United States,50,Mid_aged,2,3,3,120,NEW,2013-12-01,2013-09-29,3,new customer,40,120,0.00%
793,11792,Alexia Perry,United States,51,Mid_aged,2,3,3,120,NEW,2013-06-30,2013-05-03,1,new customer,40,120,0.00%
794,11793,Xavier Rogers,United States,45,Mid_aged,2,4,4,102,NEW,2013-02-10,2013-02-04,0,new customer,25.5,102,0.00%
795,11794,Lauren Ross,United States,50,Mid_aged,2,4,4,77,NEW,2014-01-28,2013-11-28,2,new customer,19.25,77,0.00%
796,11795,Nicole Thomas,United States,51,Mid_aged,2,3,3,75,NEW,2013-11-25,2013-07-12,4,new customer,25,75,0.00%
797,11796,Isabel Jenkins,United States,40,Mid_aged,2,7,7,5995,VIP,2013-05-30,2011-10-16,19,regular customer,856.43,5995,0.02%
798,11797,Devin Coleman,United States,45,Mid_aged,2,6,6,5972,VIP,2013-06-29,2011-10-14,20,regular customer,995.33,5972,0.02%
799,11798,Brendan Chande,United States,51,Mid_aged,2,3,3,5953,VIP,2013-06-11,2011-10-15,20,regular customer,1984.33,5953,0.02%
800,11799,Jessie Wang,United States,45,Mid_aged,2,5,5,5921,VIP,2013-06-09,2011-10-10,20,regular customer,1184.2,5921,0.02%
801,11800,Jennifer Baker,United States,50,Mid_aged,2,4,4,77,NEW,2013-08-13,2013-08-10,0,new customer,19.25,77,0.00%
802,11801,Aaron Sharma,United States,50,Mid_aged,2,3,3,87,NEW,2013-12-31,2013-12-12,0,new customer,29,87,0.00%
803,11802,Madison Taylor,Canada,48,Mid_aged,5,12,10,214,NEW,2013-12-01,2013-02-25,10,regular customer,17.83,214,0.00%
804,11803,Jan Hernandez,United States,48,Mid_aged,2,6,6,230,NEW,2013-11-23,2013-07-29,4,new customer,38.33,230,0.00%
805,11804,Haley Turner,United States,49,Mid_aged,2,5,5,134,NEW,2013-08-12,2013-05-29,3,new customer,26.8,134,0.00%
806,11805,Richard Green,United States,49,Mid_aged,2,4,4,129,NEW,2013-11-05,2013-04-23,7,regular customer,32.25,129,0.00%
807,11806,Jennifer Stewart,United States,43,Mid_aged,2,4,4,96,NEW,2013-10-03,2013-02-21,8,regular customer,24,96,0.00%
808,11807,Lucas Baker,United States,48,Mid_aged,2,5,5,153,NEW,2013-09-12,2013-04-13,5,new customer,30.6,153,0.00%
809,11808,James Parker,Canada,51,Mid_aged,5,14,12,609,NEW,2013-10-25,2013-03-26,7,regular customer,43.5,609,0.00%
810,11809,Juan Gray,United States,52,Mid_aged,2,4,4,5929,VIP,2013-06-10,2011-10-21,20,regular customer,1482.25,5929,0.02%
811,11810,Antonio Washington,United States,47,Mid_aged,2,5,5,5973,VIP,2013-06-24,2011-10-20,20,regular customer,1194.6,5973,0.02%
812,11811,Abigail Brooks,United States,47,Mid_aged,2,2,2,5898,VIP,2013-06-17,2011-10-15,20,regular customer,2949,5898,0.02%
813,11812,Andrew Rodriguez,United States,52,Mid_aged,2,3,3,5900,VIP,2013-06-18,2011-10-03,20,regular customer,1966.67,5900,0.02%
814,11813,Mary Patterson,United States,52,Mid_aged,2,3,3,5953,VIP,2013-06-28,2011-10-16,20,regular customer,1984.33,5953,0.02%
815,11814,Dalton Morgan,United States,49,Mid_aged,2,5,5,101,NEW,2013-09-08,2013-06-23,3,new customer,20.2,101,0.00%
816,11815,Hannah Patterson,United States,44,Mid_aged,2,5,5,5948,VIP,2013-02-24,2011-10-02,16,regular customer,1189.6,5948,0.02%
817,11816,Joe Torres,United States,44,Mid_aged,2,3,3,5933,VIP,2013-02-20,2011-10-02,16,regular customer,1977.67,5933,0.02%
818,11817,Morgan Miller,United States,44,Mid_aged,2,2,2,5898,VIP,2013-02-12,2011-10-13,16,regular customer,2949,5898,0.02%
819,11818,Daniel Garcia,United States,50,Mid_aged,2,5,5,5954,VIP,2013-01-30,2011-10-21,15,regular customer,1190.8,5954,0.02%
820,11819,Jose Lal,United States,52,Mid_aged,2,4,4,96,NEW,2014-01-16,2013-02-15,11,regular customer,24,96,0.00%
821,11820,Katelyn Lopez,Canada,48,Mid_aged,5,10,9,232,NEW,2013-12-06,2013-02-09,10,regular customer,23.2,232,0.00%
822,11821,Austin Johnson,United States,54,Mid_aged,2,7,7,151,NEW,2013-09-03,2013-07-30,2,new customer,21.57,151,0.00%
